Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN
2000-01-03,26.34682464599609,6.564564228057861,,18.25,,1.227554202079773,16.274673461914062,15.5,,28.296314239501953,5.379488468170166,44.29417037963867,18.10405731201172,321.25,7.713035106658935,5.56334924697876,15.185927391052244,7.375,
2000-01-04,25.299936294555664,6.377004146575928,,17.8125,,1.1902146339416504,14.909400939941404,14.625,,27.174224853515625,5.236737251281738,40.91059112548828,17.552309036254886,300.0,7.616623401641847,5.56334924697876,14.85183334350586,6.9375,
2000-01-05,26.032758712768555,6.365283966064452,,18.0,,1.1948819160461426,15.20417308807373,15.0,,27.46694564819336,5.20668363571167,38.372894287109375,17.65574836730957,283.5,7.657941818237305,5.659932613372803,14.57848072052002,7.28125,
2000-01-06,28.12655639648437,6.588011264801025,,18.03125,,1.171544075012207,15.328289985656738,16.0,,27.686485290527344,5.311870574951172,36.91181564331055,18.82821273803711,236.125,7.664830684661865,5.853107929229736,14.305136680603027,7.75,
2000-01-07,28.68490028381348,6.658342361450195,,17.9375,,1.2042169570922852,16.072982788085938,16.25,,28.22313117980957,5.417055130004883,39.98779678344727,20.13860511779785,248.375,7.9471797943115225,5.7565226554870605,14.57848072052002,8.25,
2000-01-10,28.545318603515625,6.6114540100097665,,20.5,,1.2648946046829224,16.693561553955078,17.5,,29.49159240722656,5.093986511230469,42.41013717651367,18.89718437194824,285.5,7.809446811676025,5.737203121185303,14.760722160339355,8.28125,
2000-01-11,28.05675506591797,6.517674922943115,,19.8125,,1.3209048509597778,15.545493125915527,17.25,,29.63796043395996,4.98879861831665,41.833396911621094,18.035083770751953,278.4375,7.809446811676025,5.71788501739502,14.79109001159668,7.5,
2000-01-12,28.12655639648437,6.45911979675293,,19.59375,,1.2648946046829224,15.467921257019045,18.125,,30.24778938293457,4.9061546325683585,40.98748779296875,18.345436096191406,254.0,7.58907413482666,5.7565226554870605,14.57848072052002,7.40625,
2000-01-13,28.12655639648437,6.399858474731445,,21.0,,1.278897047042847,16.290189743041992,18.875,,30.76004981994629,5.018852233886719,41.60270309448242,18.207500457763672,232.8125,7.575302124023437,5.8337883949279785,14.63922882080078,8.71875,
2000-01-14,27.72523307800293,6.542081356048584,,21.375,,1.2648946046829224,16.460847854614258,20.1875,,32.491973876953125,5.161606311798097,42.06409072875977,17.862655639648438,230.0,7.533979415893555,5.71788501739502,14.730342864990234,8.65625,
2000-01-18,27.11455345153809,6.399858474731445,,26.0,,1.2695618867874146,15.88680934906006,19.5,,30.41852569580078,4.808482646942139,43.98657989501953,17.000568389892578,211.5,7.520210266113281,5.601982593536377,14.760722160339355,8.265625,
2000-01-19,27.58564758300781,6.269491195678711,,24.375,,1.250892162322998,15.669607162475586,19.59375,,30.58929252624512,4.522979259490967,43.06378936767578,17.035051345825195,224.75,7.3411545753479,5.621300220489502,14.699968338012695,8.53125,
2000-01-20,26.55620574951172,6.07987117767334,,23.5,,1.1808794736862185,15.840267181396484,19.5,,30.32096862792969,4.891127586364746,41.91029357910156,16.483314514160153,234.0,7.16210412979126,5.544032096862793,14.699968338012695,9.96875,
2000-01-21,26.50387763977051,5.913945198059082,,29.4375,,1.1295368671417236,15.607548713684082,18.9375,,31.22351455688477,4.658216953277588,42.29478454589844,15.966053009033205,269.0,7.0105977058410645,5.621300220489502,14.63922882080078,11.03125,
2000-01-24,25.8931827545166,5.68876314163208,,31.375,,1.120201826095581,15.033514022827148,17.25,,31.22351455688477,4.605623245239258,42.14099502563477,16.655725479125973,262.0625,6.638719081878662,5.524713516235352,14.57848072052002,11.765625,
2000-01-25,25.50931739807129,5.617655277252197,,28.75,,1.0828617811203003,15.638579368591307,20.0,,29.66234397888184,4.8009676933288565,41.64114761352539,17.138500213623047,279.3125,6.721358299255371,5.292906761169434,14.548115730285645,11.90625,
2000-01-26,26.88772392272949,5.62950611114502,,28.875,,1.185546875,15.18865966796875,18.5,,28.27192497253418,5.041392803192139,42.02564239501953,17.379892349243164,277.5,7.1070098876953125,5.486079692840576,14.426630973815918,12.15625,
2000-01-27,26.870281219482425,5.842836856842041,,29.0,,1.2835646867752075,15.561006546020508,18.46875,,29.61355781555176,4.951234817504883,42.10254287719727,17.035051345825195,281.125,7.024370670318604,5.582666397094727,14.60886001586914,11.890625,
2000-01-28,25.753591537475586,6.044314384460449,,29.4375,,1.2228869199752808,14.288822174072266,17.625,,29.80870246887207,5.048905849456787,41.87184143066406,16.448822021484375,270.0625,7.189650058746338,5.447446346282959,14.365885734558105,11.8125,
2000-01-31,26.13744354248047,6.174681663513184,,29.25,,1.1668769121170044,13.668240547180176,18.0,,31.27230834960937,5.221712112426758,40.71833801269531,16.345369338989258,249.125,7.024370670318604,5.582666397094727,14.335514068603516,10.9375,
2000-02-01,26.277027130126953,6.233938694000244,,28.75,,1.260226845741272,13.8699312210083,18.28125,,31.51623725891113,5.326897144317627,43.678993225097656,16.897109985351562,239.0625,6.996824264526367,5.428128719329834,14.457000732421875,11.09375,
2000-02-02,25.823383331298828,6.269491195678711,,28.125,,1.2975671291351318,15.21968936920166,18.03125,,30.95519256591797,5.3344082832336435,47.06256103515625,16.75917625427246,233.625,7.0105977058410645,5.447446346282959,14.48736572265625,12.625,
2000-02-03,25.59655952453613,6.305046558380128,,26.75,,1.3115695714950562,17.14348030090332,19.5,,31.36987113952637,5.402029037475586,47.8315658569336,16.966081619262695,245.375,6.859090805053711,5.447446346282959,14.335514068603516,14.0,
